genus,species_number,endemism_status
Hygrochloa,2,endemic
Hylandia,1,endemic
Hypocalymma,26,endemic
Hypolaena,8,endemic
Hypsophila,2,endemic
Hysterobaeckea,11,endemic
Idiospermum,1,endemic
Indagator,1,endemic
Iotasperma,2,endemic
Irenepharsus,3,endemic
Irvingbaileya,1,endemic
Isoetopsis,1,endemic
Isophysis,1,endemic
Isopogon,38,endemic
Isotropis,14,endemic
Ixiochlamys,4,endemic
Ixiolaena,1,endemic
Ixodia,2,endemic
Jacksonia,74,endemic
Jedda,1,endemic
Johnsonia,5,endemic
Kardomia,6,endemic
Karrabina,2,endemic
Kelita,1,endemic
Kennedia,13,endemic
Kingia,1,endemic
Kippistia,1,endemic
Kuntheria,1,endemic
Labichea,14,endemic
Laccospadix,1,endemic
Lachnostachys,6,endemic
Lagarostrobos,1,endemic
Lamarchea,2,endemic
Lambertia,10,endemic
Lamprolobium,2,endemic
Larsenaikia,3,endemic
Lasiopetalum,49,endemic
Latrobea,8,endemic
Lawrencella,2,endemic
Lawrencia,12,endemic
Laxmannia,13,endemic
Leiocarpa,10,endemic
Lemooria,1,endemic
Lenbrassia,1,endemic
Lenwebbia,2,endemic
Lepidobolus,9,endemic
Lepidorrhachis,1,endemic
Lepidozamia,2,endemic
Leporella,1,endemic
Leptocarpus,15,endemic
Leptoceras,1,endemic
Leptomeria,17,endemic
Leptorhynchos,10,endemic
Leptosema,13,endemic
Lepyrodia,22,endemic
Leucochrysum,6,endemic
Leucophyta,1,endemic
Levenhookia,11,endemic
Lissanthe,9,endemic
Lordhowea,1,endemic
Loxocarya,5,endemic
Lyginia,3,endemic
Lyperanthus,2,endemic
Lysiana,8,endemic
Lysicarpus,1,endemic
Lysinema,6,endemic
Lysiosepalum,5,endemic
Macarthuria,9,endemic
Macgregoria,1,endemic
Macropidia,1,endemic
Macropteranthes,5,endemic
Macrozamia,41,endemic
Malaccotristicha,1,endemic
Malacocera,4,endemic
Malleostemon,14,endemic
Marianthus,15,endemic
Maundia,1,endemic
Megahertzia,1,endemic
Meionectes,2,endemic
Melanostachya,1,endemic
Melichrus,4,endemic
Menkea,6,endemic
Mesomelaena,5,endemic
Micraira,15,endemic
Micrantheum,4,endemic
Microcachrys,1,endemic
Microcorys,20,endemic
Microcybe,4,endemic
Microlepidium,2,endemic
Micromyrtus,50,endemic
Milligania,5,endemic
Millotia,16,endemic
Minuria,12,endemic
Mirbelia,29,endemic
Mitrantia,1,endemic
Mobilabium,1,endemic
Monachather,1,endemic
Monotaxis,8,endemic
Monotoca,11,endemic
Motherwellia,1,endemic
Muelleranthus,4,endemic
Muellerolimon,1,endemic
Muiriantha,1,endemic
Mullerochloa,1,endemic
Muniria,4,endemic
Musgravea,2,endemic
Myriocephalus,15,endemic
Nablonium,1,endemic
Needhamiella,1,endemic
Negria,1,endemic
Nematolepis,7,endemic
Neoastelia,1,endemic
Neobassia,2,endemic
Neobyrnesia,1,endemic
Neofabricia,3,endemic
Neorites,1,endemic
Neoroepera,2,endemic
Neosciadium,1,endemic
Neostrearia,1,endemic
Neurachne,7,endemic
Newcastelia,9,endemic
Noahdendron,1,endemic
Nomismia,1,endemic
Normanbya,1,endemic
Notelaea,12,endemic
Nothoalsomitra,1,endemic
Nothorites,1,endemic
Notisia,1,endemic
Notochloe,1,endemic
Nuytsia,1,endemic
Nyssanthes,4,endemic
Ochrosperma,5,endemic
Odixia,2,endemic
Oligarrhena,1,endemic
Omegandra,1,endemic
Omphacomeria,1,endemic
Omphalolappula,1,endemic
Opercularia,19,endemic
Opisthiolepis,1,endemic
Oraniopsis,1,endemic
Orianthera,13,endemic
Ornduffia,7,endemic
Oschatzia,2,endemic
Osteocarpum,4,endemic
Ostrearia,1,endemic
Owenia,5,endemic
Oxychloris,1,endemic
Oxylobium,5,endemic
Oxymyrrhine,4,endemic
Pachymitus,1,endemic
Paenula,1,endemic
Papillilabium,1,endemic
Papistylus,2,endemic
Pappochroma,9,endemic
Paractaenum,2,endemic
Paragonis,1,endemic
Paragoodia,1,endemic
Paraneurachne,1,endemic
Parantennaria,1,endemic
Parapachygone,1,endemic
Pedleya,1,endemic
Pembertonia,1,endemic
Pentaceras,1,endemic
Pentalepis,6,endemic
Pentapeltis,2,endemic
Pentaptilon,1,endemic
Pericalymma,4,endemic
Peripentadenia,2,endemic
Peristeranthus,1,endemic
Persoonia,101,endemic
Petalostylis,2,endemic
Petermannia,1,endemic
Petraeomyrtus,1,endemic
Petrophile,66,endemic
Phebalium,30,endemic
Pheladenia,1,endemic
Pherosphaera,2,endemic
Philotheca,53,endemic
Philydrella,2,endemic
Phlebocarya,3,endemic
Phlegmatospermum,4,endemic
Phyllangium,5,endemic
Phyllota,11,endemic
Phymatocarpus,3,endemic
Physopsis,5,endemic
Pilbara,1,endemic
Pileanthus,8,endemic
Pitaviaster,1,endemic
Pithocarpa,4,endemic
Pityrodia,20,endemic
Placospermum,1,endemic
Plagiocarpus,7,endemic
Planocarpa,3,endemic
Platychorda,2,endemic
Platylobium,9,endemic
Platysace,23,endemic
Platytheca,3,endemic
Platyzoma,1,endemic
Plectorrhiza,3,endemic
Pleogyne,1,endemic
Pleurocarpaea,2,endemic
Plinthanthesis,3,endemic
Podolobium,6,endemic
Podotheca,6,endemic
Pogonolepis,2,endemic
Polianthion,4,endemic
Polycalymma,1,endemic
Pomax,2,endemic
Potamophila,1,endemic
Praecoxanthus,1,endemic
Prionotes,1,endemic
Prostanthera,101,endemic
Psammagrostis,1,endemic
Psammomoya,4,endemic
Pseudanthus,9,endemic
Pseudochaetochloa,1,endemic
Pseudoweinmannia,2,endemic
Pterochaeta,1,endemic
Pterygopappus,1,endemic
Ptilothrix,1,endemic
Ptychosema,1,endemic
Pycnosorus,6,endemic
Pyrorchis,2,endemic
Quinetia,1,endemic
Quinqueremulus,1,endemic
Quoya,7,endemic
Reedia,1,endemic
Regelia,5,endemic
Rhadinothamnus,3,endemic
Rhagodia,11,endemic
Rhetinocarpha,1,endemic
Rhinerrhiza,1,endemic
Rhizanthella,4,endemic
Rhodanthe,45,endemic
Rhodosphaera,1,endemic
Rhytidosporum,5,endemic
Richea,11,endemic
Ricinocarpos,28,endemic
Rimacola,1,endemic
Rinzia,18,endemic
Ristantia,3,endemic
Rockinghamia,2,endemic
Roebuckiella,9,endemic
Roycea,3,endemic
Rumicastrum,1,endemic
Rutidosis,9,endemic
Sankowskya,1,endemic
Sarcozona,2,endemic
Saxipoa,1,endemic
Scambopus,1,endemic
Schistocarpaea,1,endemic
Schistotylus,1,endemic
Schoenia,5,endemic
Schoenolaena,1,endemic
Scholtzia,13,endemic
Scleroblitum,1,endemic
Sedopsis,2,endemic
Seorsus,2,endemic
Serichonus,1,endemic
Seringia,18,endemic
Shonia,4,endemic
Siegfriedia,1,endemic
Siloxerus,4,endemic
Sondottia,2,endemic
Sowerbaea,5,endemic
Spartochloa,1,endemic
Spathia,1,endemic
Sphaerantia,2,endemic
Sphaerolobium,22,endemic
Sphalmium,1,endemic
Sphenotoma,6,endemic
Spiculaea,1,endemic
Spirogardnera,1,endemic
Spyridium,44,endemic
Stachystemon,9,endemic
Stawellia,2,endemic
Stenanthemum,29,endemic
Stenanthera,3,endemic
Stenopetalum,12,endemic
Stenostegia,1,endemic
Stirlingia,7,endemic
Stockwellia,1,endemic
Stonesiella,1,endemic
Strangea,3,endemic
Streptoglossa,8,endemic
Streptothamnus,1,endemic
Stuartina,2,endemic
Stylobasium,2,endemic
Stypandra,2,endemic
Surreya,2,endemic
Swainsona,85,endemic
Sylvipoa,1,endemic
Symonanthus,2,endemic
Symphionema,2,endemic
Synaphea,56,endemic
Synaptantha,2,endemic
Tapheocarpa,1,endemic
Taplinia,1,endemic
Taraxis,1,endemic
Templetonia,13,endemic
Tersonia,1,endemic
Tetracarpaea,1,endemic
Tetrapora,4,endemic
Tetrarrhena,6,endemic
Tetratheca,53,endemic
Thedachloa,1,endemic
Thelionema,3,endemic
Thespidium,1,endemic
Thinicola,1,endemic
Thiseltonia,1,endemic
Thomasia,29,endemic
Threlkeldia,2,endemic
Thryptomene,47,endemic
Thynninorchis,2,endemic
Thyridolepis,3,endemic
Tietkensia,1,endemic
Trachystylis,1,endemic
Tremandra,2,endemic
Tremulina,2,endemic
Tribonanthes,6,endemic
Tribulopis,6,endemic
Trichanthodium,4,endemic
Trihaloragis,1,endemic
Triodia,79,endemic
Trioncinia,2,endemic
Tripladenia,1,endemic
Triplarina,7,endemic
Tripterococcus,1,endemic
Triptilodiscus,1,endemic
Tristania,1,endemic
Triunia,4,endemic
Trymalium,13,endemic
Tyrbastes,1,endemic
Ungeria,1,endemic
Uranthoecium,1,endemic
Urodon,2,endemic
Uvedalia,2,endemic
Van-royena,1,endemic
Verreauxia,3,endemic
Verticordia,101,endemic
Vesselowskya,2,endemic
Viminaria,1,endemic
Walteranthus,1,endemic
