Family,Genus,Sp1,TaxStat,Accepted,Ecology
Fabaceae,Vachellia,borleae,Accepted,,Indigenous
Iridaceae,Thereianthus,longicollis,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,vlokii,Accepted,,Indigenous; Endemic
Polygalaceae,Polygala,leptophylla,Inclusive,,Indigenous
Apiaceae,Centella,callioda,Accepted,,Indigenous; Endemic
Asteraceae,Euryops,bolusii,Accepted,,Indigenous; Endemic
Asteraceae,Euryops,integrifolius,Accepted,,Indigenous; Endemic
Iridaceae,Gladiolus,hirsutus,Accepted,,Indigenous; Endemic
Solanaceae,Solanum,torreanum,Accepted,,Indigenous
Amaranthaceae,Chenopodium,opulifolium,Accepted,,Not indigenous; Naturalised
Aizoaceae,Echinus,edentulus,Synonym,Ruschia edentula (Haw.) L.Bolus,Indigenous
Fabaceae,Argyrolobium,humile,Accepted,,Indigenous; Endemic
Iridaceae,Moraea,monticola,Accepted,,Indigenous; Endemic
Fabaceae,Argyrolobium,molle,Accepted,,Indigenous; Endemic
Fabaceae,Vicia,sativa,Accepted,,Not indigenous; Naturalised; Invasive
Apiaceae,Dasispermum,humile,Accepted,,Indigenous; Endemic
Geraniaceae,Monsonia,lanuginosa,Accepted,,Indigenous; Endemic
Lobeliaceae,Rapuntium,coronopifolium,Synonym,Lobelia coronopifolia L.,Indigenous
Poaceae,Panicum,laticomum,Accepted,,Indigenous
Penaeaceae,Brachysiphon,sp.,Genus level,,
Ruscaceae,Eriospermum,graminifolium,Accepted,,Indigenous; Endemic
Campanulaceae,Lightfootia,diffusa,Synonym,Wahlenbergia tenella (L.f.) Lammers,Indigenous
Apocynaceae,Brachystelma,chloranthum,Synonym,Ceropegia chlorantha (Schltr.) Bruyns,Indigenous
Asteraceae,Senecio,asperulus,Accepted,,Indigenous
Asteraceae,Eriocephalus,africanus,Accepted,,Indigenous; Endemic
Asteraceae,Crassothonna,floribunda,Accepted,,Indigenous; Endemic
Asteraceae,Hymenolepis,calva,Accepted,,Indigenous; Endemic
Asteraceae,Orbivestus,cinerascens,Accepted,,Indigenous
Aizoaceae,Psilocaulon,pomeridianum,Synonym,Mesembryanthemum stenandrum (L.Bolus) L.Bolus,Indigenous
Apocynaceae,Microloma,longitubum,Accepted,,Indigenous
Restionaceae,Restio,nubigenus,Accepted,,Indigenous; Endemic
Euphorbiaceae,Sclerocroton,integerrimus,Accepted,,Indigenous
Malvaceae,Hermannia,cuneifolia,Accepted,,Indigenous
Bruniaceae,Brunia,verticillata,Synonym,Staavia verticillata (L.f.) Pillans,Indigenous; Endemic
Aizoaceae,Conophytum,prolongatum,Synonym,Conophytum uviforme (Haw.) N.E.Br. subsp. uviforme,Present
Aizoaceae,Nananthus,jamesii,Synonym,Aloinopsis rubrolineata (N.E.Br.) Schwantes,Indigenous
Fabaceae,Aspalathus,heterophylla,Accepted,,Indigenous; Endemic
Asphodelaceae,Aloe,striata,Synonym,Aloe karasbergensis Pillans,Indigenous
Campanulaceae,Wahlenbergia,denudata,Accepted,,Indigenous; Endemic
Orchidaceae,Herschelianthe,purpurascens,Synonym,Disa purpurascens Bolus,Indigenous
Fabaceae,Chasmone,stricta,Synonym,Argyrolobium pauciflorum Eckl. & Zeyh.,Present
Apiaceae,Ammi,majus,Accepted,,Not indigenous; Naturalised; Invasive
Cyperaceae,Cyperus,tenax,Accepted,,Indigenous
Violaceae,Afrohybanthus,caffer,Accepted,,Indigenous
Gentianaceae,Sebaea,ambigua,Accepted,,Indigenous; Endemic
Scrophulariaceae,Jamesbrittenia,aurantiaca,Accepted,,Indigenous
Cyperaceae,Cyperus,vorsteri,Accepted,,Indigenous; Endemic
Lamiaceae,Syncolostemon,ramulosus,Accepted,,Indigenous; Endemic
Scrophulariaceae,Oftia,africana,Accepted,,Indigenous; Endemic
Lamiaceae,Plectranthus,cylindraceus,Synonym,Plectranthus montanus Benth.,Indigenous
Cyperaceae,Cyperus,macrocarpus,Synonym,Cyperus cyperoides (L.) Kuntze subsp. pseudoflavus (Kuk.) Lye,Indigenous
Cyperaceae,Carex,acutiformis,Accepted,,Not indigenous; Naturalised
Hyacinthaceae,Drimia,sanguinea,Accepted,,Indigenous
Orchidaceae,Disa,venosa,Accepted,,Indigenous; Endemic
Bryaceae,Bryum,ruderale,Synonym,Gemmabryum ruderale (Crundw. & Nyholm) J.R.Spence,Indigenous
Aizoaceae,Delosperma,cloeteae,Accepted,,Indigenous; Endemic
Rhamnaceae,Phylica,callosa,Accepted,,Indigenous; Endemic
Aizoaceae,Mesembryanthemum,melanospermum,Synonym,Mesembryanthemum ligneum (L.Bolus) Klak,Indigenous
Euphorbiaceae,Manihot,esculenta,Accepted,,Not indigenous; Cultivated; Naturalised
Poaceae,Andropogon,laxatus,Accepted,,Indigenous
Amaranthaceae,Oxybasis,rubra,Accepted,,Not indigenous; Naturalised; Invasive
Iridaceae,Watsonia,humilis,Accepted,,Indigenous; Endemic
Sapindaceae,Cardiospermum,microcarpum,Synonym,Cardiospermum halicacabum L. var. microcarpum (Kunth) Blume,
Ricciaceae,Riccia,trichocarpa,Synonym,Riccia crinita Taylor,Indigenous
Vitaceae,Cyphostemma,spinosopilosum,Accepted,,Indigenous
Fabaceae,Melilotus,indicus,Accepted,,Not indigenous; Naturalised; Invasive
Polygalaceae,Muraltia,parvifolia,Accepted,,Indigenous; Endemic
Proteaceae,Leucospermum,mixtum,Synonym,Leucospermum cordifolium (Salisb. ex Knight) Fourc.,Indigenous
Aizoaceae,Phyllobolus,pearsonii,Synonym,Mesembryanthemum resurgens Kensit,Indigenous
Orchidaceae,Holothrix,pilosa,Accepted,,Indigenous; Endemic
Iridaceae,Romulea,eburnea,Accepted,,Indigenous; Endemic
Apocynaceae,Hoodia,husabensis,Synonym,Hoodia gordonii (Masson) Sweet ex Decne.,Present
Hyacinthaceae,Lachenalia,ensifolia,Accepted,,Indigenous; Endemic
Moraceae,Ficus,thonningii,Accepted,,Indigenous
Fabaceae,Aspalathus,ramulosa,Accepted,,Indigenous; Endemic
Scrophulariaceae,Sutera,violacea,Synonym,Chaenostoma violaceum Schltr.,Indigenous; Endemic
