Family,Genus,Sp1,TaxStat,Accepted,Ecology
Fabaceae,Otholobium,gazense,Synonym,Otholobium foliosum (Oliv.) C.H.Stirt. subsp. gazense (Baker f.) Verdc.,Indigenous
Asteraceae,Mairia,robusta,Accepted,,Indigenous; Endemic
Phyllanthaceae,Phyllanthus,macranthus,Inclusive,,Indigenous
Asteraceae,Vernonia,wildii,Synonym,Polydora bainesii (Oliv. & Hiern) H.Rob.,
Amaranthaceae,Atriplex,vestita,Accepted,,Indigenous
Aizoaceae,Leipoldtia,jacobseniana,Synonym,Leipoldtia schultzei (Schltr. & Diels) Friedrich,Indigenous
Basellaceae,Basella,sp.,Genus level,,
Iridaceae,Psilosiphon,masukuensis,Synonym,Afrosolen masukuensis (Vaupel & Schltr.) Goldblatt & J.C.Manning,Indigenous
Hyacinthaceae,Galtonia,princeps,Synonym,Ornithogalum princeps (Baker) J.C.Manning & Goldblatt,Indigenous
Solanaceae,Nicandra,physalodes,Accepted,,Not indigenous; Naturalised; Invasive
Fabaceae,Melolobium,macrocalyx,Inclusive,,Indigenous
Cyperaceae,Ficinia,capitella,Accepted,,Indigenous; Endemic
Poaceae,Paspalum,notatum,Accepted,,Not indigenous; Naturalised; Invasive
Apocynaceae,Brachystelmaria,macropetalum,Synonym,Ceropegia macropetala (Schltr.) Bruyns,Indigenous
Aizoaceae,Conophytum,citrinum,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Scrophulariaceae,Selago,magnakarooica,Accepted,,Indigenous; Endemic
Selaginellaceae,Selaginella,nubigena,Accepted,,Indigenous; Endemic
Agavaceae,Anthericum,galpinii,Synonym,Chlorophytum galpinii (Baker) Kativu var. norlindhii (Weim.) Kativu,Indigenous
Aizoaceae,Cephalophyllum,spongiosum,Synonym,Jordaaniella spongiosa (L.Bolus) H.E.K.Hartmann,Indigenous
Aizoaceae,Oscularia,ornata,Accepted,,Indigenous; Endemic
Proteaceae,Leucospermum,oleifolium,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,albescens,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Lobeliaceae,Laurentia,secunda,Synonym,"Wimmerella secunda (L.f.) Serra, M.B.Crespo & Lammers",Indigenous
Brassicaceae,Aplanodes,doidgeana,Accepted,,Indigenous; Endemic
Lycopodiaceae,Plananthus,verticillatus,Synonym,Huperzia verticillata (L.f.) Trevis.,
Asphodelaceae,Haworthia,limifolia,Synonym,Haworthiopsis koelmaniorum (Oberm. & D.S.Hardy) Boatwr. & J.C.Manning,Indigenous
Achariaceae,Kiggelaria,sp.,Genus level,,
Iridaceae,Afrocrocus,unifolius,Synonym,Syringodea unifolia Goldblatt,Indigenous; Endemic
Araliaceae,Cussonia,transvaalensis,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,edwardsiae,Synonym,Conophytum albiflorum (Rawe) S.A.Hammer,Present
Plantaginaceae,Plantago,myosuros,Accepted,,Not indigenous; Naturalised
Hypoxidaceae,Spiloxene,aemulans,Synonym,Pauridia aemulans (Nel) Snijman & Kocyan,Indigenous
Sphaerocarpaceae,Sphaerocarpos,stipitatus,Accepted,,Indigenous
Orchidaceae,Oberonia,sp.,Genus level,,
Asteraceae,Arctotis,fosteri,Synonym,Arctotis acaulis L.,Indigenous; Endemic
Fabaceae,Psoralea,triflora,Synonym,Otholobium trianthum (E.Mey.) C.H.Stirt.,
Aizoaceae,Dinteranthus,microspermus,Synonym,Dinteranthus puberulus N.E.Br.,Present
Fabaceae,Lotononis,involucrata,Accepted,,Indigenous; Endemic
Apiaceae,Alepidea,peduncularis,Accepted,,Indigenous
Myrtaceae,Eugenia,pusilla,Accepted,,Indigenous; Endemic; extinct
Rosaceae,Cliffortia,paucistaminea,Accepted,,Indigenous; Endemic
Fabaceae,Aspalathus,rubens,Accepted,,Indigenous; Endemic
Polygonaceae,Oxygonum,dregeanum,Accepted,,Indigenous; Endemic
Lobeliaceae,Cyphia,tomentosa,Synonym,Cyphia digitata Willd.,Indigenous
Paulowniaceae,Paulownia,tomentosa,Accepted,,Not indigenous; Naturalised; Invasive
Poaceae,Melica,racemosa,Accepted,,Indigenous
Poaceae,Aristida,aequiglumis,Accepted,,Indigenous
Asphodelaceae,Gasteria,polita,Accepted,,Indigenous; Endemic
Zamiaceae,Encephalartos,cupidus,Accepted,,Indigenous; Endemic
Restionaceae,Restio,sabulosus,Accepted,,Indigenous; Endemic
Thymelaeaceae,Gnidia,variegata,Accepted,,Indigenous; Endemic
Fabaceae,Ophrestia,oblongifolia,Accepted,,Indigenous; Endemic
Scrophulariaceae,Verbascum,sp.,Genus level,,
Amaranthaceae,Aerva,lanata,Accepted,,Indigenous
Asteraceae,Ictinus,gorterioides,Synonym,Gorteria piloselloides (Cass.) Stangb. & Anderb.,Indigenous
Aizoaceae,Scopelogena,sp.,Genus level,,
Aizoaceae,Octopoma,tetrasepalum,Synonym,Schlechteranthus tetrasepalus (L.Bolus) R.F.Powell,Indigenous; Endemic
Asteraceae,Webbia,oligocephala,Synonym,Hilliardiella elaeagnoides (DC.) Swelank. & J.C.Manning,Indigenous
Acanthaceae,Adhatoda,lupulina,Synonym,Justicia betonica L.,Indigenous
Poaceae,Anthoxanthum,ecklonii,Accepted,,Indigenous
Juglandaceae,Pterocarya,stenoptera,Accepted,,Not indigenous; Cultivated; Naturalised
Poaceae,Harpochloa,falx,Accepted,,Indigenous
Molluginaceae,Pharnaceum,detonsum,Accepted,,Indigenous
Brachytheciaceae,Brachythecium,implicatum,Synonym,Brachythecium ruderale (Brid.) W.R.Buck,Indigenous
Scrophulariaceae,Sutera,intertexta,Synonym,Chaenostoma campanulatum Benth.,Indigenous
Eriocaulaceae,Eriocaulon,transvaalicum,Accepted,,Indigenous
Hyacinthaceae,Lachenalia,ensifolia,Inclusive,,Indigenous; Endemic
Apocynaceae,Asclepias,rara,Accepted,,Indigenous; Endemic
Geraniaceae,Geranium,multisectum,Accepted,,Indigenous
Aizoaceae,Oscularia,cremnophila,Accepted,,Indigenous; Endemic
Fabaceae,Lotononis,gracilifolia,Accepted,,Indigenous; Endemic
Iridaceae,Sisyrinchium,micranthum,Accepted,,Not indigenous; Naturalised
Iridaceae,Moraea,namaquamontana,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,subulata,Synonym,Haworthiopsis attenuata (Haw.) G.D.Rowley var. attenuata,Indigenous
Memecylaceae,Warneckea,sp.,Genus level,,
Leskeaceae,Haplocladium,sp.,Genus level,,
Ricciaceae,Riccia,hirsuta,Accepted,,Indigenous; Endemic
Asteraceae,Cotula,pedunculata,Accepted,,Indigenous; Endemic
Rubiaceae,Cordylostigma,virgatum,Accepted,,Indigenous
Fabaceae,Lotus,corniculatus,Accepted,,Not indigenous; Naturalised
Rosaceae,Cliffortia,anthospermoides,Accepted,,Indigenous; Endemic
Asphodelaceae,Haworthia,truterorum,Synonym,Haworthia bayeri J.D.Venter & S.A.Hammer,Indigenous
Asteraceae,Doellia,cafra,Accepted,,Indigenous
Iridaceae,Gladiolus,huttonii,Accepted,,Indigenous; Endemic
Fabaceae,Podalyria,pulcherrima,Synonym,Podalyria biflora (L.) Lam.,Indigenous; Endemic
Poaceae,Cynodon,transvaalensis,Accepted,,Indigenous
Aizoaceae,Ruschia,canonotata,Accepted,,Indigenous
Proteaceae,Protea,marginata,Synonym,Protea laurifolia Thunb.,Indigenous
Fabaceae,Vicia,benghalensis,Accepted,,Not indigenous; Naturalised; Invasive
Scrophulariaceae,Limosella,aquatica,Accepted,,Indigenous
Sapotaceae,Sideroxylon,cymosum,Synonym,Olinia ventosa (L.) Cufod.,Indigenous
Apocynaceae,Huernia,praestans,Accepted,,Indigenous; Endemic
Rutaceae,Agathosma,rehmanniana,Accepted,,Indigenous; Endemic
Poaceae,Eriochloa,meyeriana,Accepted,,Indigenous
Orchidaceae,Monadenia,ophrydea,Synonym,Disa ophrydea (Lindl.) Bolus,Indigenous
Amaryllidaceae,Nerine,flexuosa,Synonym,Nerine humilis (Jacq.) Herb.,Indigenous
Crassulaceae,Crassula,thunbergiana,Inclusive,,Indigenous
Asparagaceae,Protasparagus,multiflorus,Synonym,Asparagus multiflorus Baker,Present
Asteraceae,Osteospermum,hafstroemii,Accepted,,Indigenous; Endemic
Asteraceae,Senecio,rhopalodenia,Synonym,Curio radicans (L.f.) P.V.Heath,Indigenous
Asteraceae,Chrysanthemoides,monilifera,Synonym,Osteospermum moniliferum L. subsp. pisiferum (L.) J.C.Manning & Goldblatt,Indigenous; Endemic
Orchidaceae,Corycium,carnosum,Synonym,Evotella carnosa (Lindl.) J.C.Manning & Goldblatt,Indigenous; Endemic
Aizoaceae,Delosperma,pruinosum,Synonym,Delosperma echinatum (Lam.) Schwantes,Indigenous
Rhizophoraceae,Ceriops,tagal,Accepted,,Indigenous
Asphodelaceae,Aloe,labiaflava,Synonym,Aloe davyana Schonland,Indigenous; Endemic
Ericaceae,Erica,annalis,Accepted,,Indigenous; Endemic
Rhachitheciaceae,Rhachithecium,sp.,Genus level,,
Proteaceae,Leucadendron,dubium,Accepted,,Indigenous; Endemic
Lycopodiaceae,Lycopodium,complanatum,Synonym,Lycopodium zanclophyllum J.H.Wilce,
Cyperaceae,Ficinia,dunensis,Accepted,,Indigenous; Endemic
Asteraceae,Macowania,pulvinaris,Synonym,Arrowsmithia pulvinaris (N.E.Br.) N.G.Bergh,Indigenous
Hyacinthaceae,Thuranthos,pauciflorum,Synonym,Drimia pauciflora Baker,Indigenous
Hyacinthaceae,Lachenalia,splendida,Accepted,,Indigenous; Endemic
Flacourtiaceae,Aberia,caffra,Synonym,Dovyalis caffra (Hook.f. & Harv.) Warb.,Indigenous
Scrophulariaceae,Selago,tenuis,Accepted,,Indigenous; Endemic
Ericaceae,Erica,walkeria,Accepted,,Indigenous; Endemic
Apocynaceae,Ceropegia,patriciae,Synonym,Ceropegia mafekingensis (N.E.Br.) R.A.Dyer,
Orchidaceae,Brownleea,recurvata,Accepted,,Indigenous; Endemic
Turneraceae,Tricliceras,laceratum,Accepted,,Indigenous
Geraniaceae,Seymouria,l'heritieri,Synonym,Pelargonium dipetalum L'Her. subsp. dipetalum,
Hyacinthaceae,Albuca,deserticola,Accepted,,Indigenous
Apocynaceae,Ceropegia,assimilis,Synonym,Ceropegia cancellata Rchb.,Indigenous
Orchidaceae,Eulophia,leachii,Accepted,,Indigenous
Asphodelaceae,Bulbine,longifolia,Accepted,,Indigenous
Cyperaceae,Kyllinga,capensis,Synonym,Cyperus capensis (Steud.) Endl.,Indigenous
Asteraceae,Lactuca,dregeana,Accepted,,Indigenous; Endemic
Plantaginaceae,Plantago,longissima,Accepted,,Indigenous
Hyacinthaceae,Urginea,patersoniae,Synonym,Drimia chalumnensis A.P.Dold & E.Brink,Indigenous
Dryopteridaceae,Nephrodium,gueintzianum,Synonym,Christella gueintziana (Mett.) Holttum,Indigenous
Rutaceae,Sheilanthera,pubens,Accepted,,Indigenous; Endemic
Ericaceae,Scyphogyne,puberula,Synonym,Erica urceolata (Klotzsch) E.G.H.Oliv.,Indigenous
Cyperaceae,Cyperus,cyperoides,Accepted,,Indigenous
Hyacinthaceae,Pseudoprospero,sp.,Genus level,,
Euphorbiaceae,Cavacoa,sp.,Genus level,,
Fabaceae,Schotia,afra,Inclusive,,Indigenous
Iridaceae,Hesperantha,flava,Accepted,,Indigenous; Endemic
Fabaceae,Neptunia,oleracea,Accepted,,Indigenous
Iridaceae,Moraea,lugubris,Accepted,,Indigenous; Endemic
Solanaceae,Solanum,rubetorum,Accepted,,Indigenous; Endemic
Asteraceae,Chrysocoma,coma-aurea,Accepted,,Indigenous; Endemic
Brassicaceae,Heliophila,dregeana,Accepted,,Indigenous; Endemic
Campanulaceae,Roella,recurvata,Accepted,,Indigenous; Endemic
Scrophulariaceae,Verbascum,blattaria,Accepted,,Not indigenous; Naturalised
Asteraceae,Senecio,laevigatus,Accepted,,Indigenous; Endemic
Boraginaceae,Cordia,quercifolia,Accepted,,Indigenous
Crassulaceae,Crassula,barbata,Accepted,,Indigenous; Endemic
Hyacinthaceae,Lachenalia,bowkeri,Accepted,,Indigenous; Endemic
Hypoxidaceae,Pauridia,linearis,Accepted,,Indigenous; Endemic
Leucodontaceae,Nogopterium,gracile,Accepted,,Indigenous
Hyacinthaceae,Ornithogalum,constrictum,Accepted,,Indigenous; Endemic
Asteraceae,Athanasia,villosa,Synonym,Phymaspermum acerosum (DC.) Kallersjo,Indigenous
Iridaceae,Ixia,paniculata,Accepted,,Indigenous; Endemic
Hamamelidaceae,Trichocladus,crinitus,Accepted,,Indigenous; Endemic
Poaceae,Capeochloa,cincta,Inclusive,,Indigenous
Papaveraceae,Eschscholzia,sp.,Genus level,,
Onagraceae,Oenothera,longiflora,Inclusive,,Not indigenous; Naturalised; Invasive
Brassicaceae,Lepidium,bonariense,Accepted,,Not indigenous; Naturalised
Ericaceae,Erica,armata,Inclusive,,Indigenous
Santalaceae,Thesium,brachygyne,Accepted,,Indigenous; Endemic
Hypoxidaceae,Hypoxis,alba,Synonym,Pauridia alba (Thunb.) Snijman & Kocyan,Indigenous
Aizoaceae,Aizoon,rigidum,Synonym,Aizoon rigidum L.f.,Indigenous
Pteridaceae,Pteris,friesii,Accepted,,Indigenous
Juncaceae,Juncus,capillaceus,Accepted,,Not indigenous; Naturalised; Invasive
Thymelaeaceae,Gnidia,juniperifolia,Accepted,,Indigenous; Endemic
Fabaceae,Acacia,longepetiolata,Synonym,Senegalia erubescens (Welw. ex Oliv.) Kyal. & Boatwr.,
Acanthaceae,Dicliptera,verticillata,Accepted,,Indigenous
Malvaceae,Dombeya,burgessiae,Accepted,,Indigenous
Aizoaceae,Aridaria,noctiflora,Synonym,Mesembryanthemum noctiflorum L. subsp. defoliatum (Haw.) Klak,Indigenous; Endemic
Hypoxidaceae,Pauridia,affinis,Accepted,,Indigenous; Endemic
Salicaceae,Dovyalis,revoluta,Synonym,Dovyalis zeyheri (Sond.) Warb.,Indigenous
Apiaceae,Centella,restioides,Accepted,,Indigenous; Endemic
Euphorbiaceae,Euphorbia,obesa,Synonym,Euphorbia obesa Hook.f.,Indigenous
Peraceae,Clutia,rubricaulis,Synonym,Clutia rubricaulis Eckl. ex Sond.,Indigenous
Anacardiaceae,Rhus,mucronata,Synonym,Searsia laevigata (L.) F.A.Barkley var. laevigata   forma laevigata,
Ericaceae,Erica,fastigiata,Inclusive,,Indigenous
Asphodelaceae,Bulbine,dewetii,Accepted,,Indigenous; Endemic
Ericaceae,Erica,irrorata,Accepted,,Indigenous; Endemic
Acanthaceae,Adhatoda,odora,Synonym,Justicia odora (Forssk.) Lam.,Indigenous
Rubiaceae,Cordylostigma,longifolium,Accepted,,Indigenous
Acanthaceae,Justicia,protracta,misap,Justicia rhodesiana S.Moore,
Aizoaceae,Delosperma,gratiae,Accepted,,Indigenous; Endemic
Geraniaceae,Pelargonium,cucullatum,Accepted,,Indigenous; Endemic
Aizoaceae,Cryophytum,suffruticosum,Synonym,Mesembryanthemum suffruticosum (L.Bolus) Klak,Indigenous; Endemic
Apiaceae,Ifdregea,montana,Synonym,Notobubon montanum (Eckl. & Zeyh.) Magee,Indigenous
Apocynaceae,Cryptolepis,sp.,Genus level,,
Scrophulariaceae,Sutera,accrescens,Synonym,Jamesbrittenia accrescens (Hiern) Hilliard,Present
Asteraceae,Senecio,deltoideus,Accepted,,Indigenous
Geraniaceae,Monsonia,speciosa,Accepted,,Indigenous; Endemic
Caryophyllaceae,Dianthus,basuticus,Accepted,,Indigenous; Endemic
Malvaceae,Hibiscus,aethiopicus,Accepted,,Indigenous; Endemic
Crassulaceae,Adromischus,trigynus,Accepted,,Indigenous
Aizoaceae,Prenia,tetragona,Synonym,Mesembryanthemum tetragonum Thunb.,Indigenous
Cyperaceae,Schoenoxiphium,lehmannii,Synonym,Carex uhligii K.Schum. ex C.B.Clarke,Indigenous
Caryophyllaceae,Silene,undulata,Accepted,,Indigenous
Poaceae,Heteropogon,contortus,Accepted,,Indigenous
Geraniaceae,Pelargonium,aridum,Accepted,,Indigenous
Fabaceae,Wiborgia,incurvata,Accepted,,Indigenous; Endemic
Orchidaceae,Disperis,oxyglossa,Accepted,,Indigenous; Endemic
Apocynaceae,Carandas,edulis,Synonym,Carissa spinarum L.,Indigenous
Asteraceae,Eriocephalus,purpureus,Accepted,,Indigenous; Endemic
Ricciaceae,Riccia,radiata,Accepted,,Indigenous; Endemic
Fabaceae,Acacia,luederitzii,Synonym,Vachellia luederitzii (Engl.) Kyal. & Boatwr. var. retinens (Sim)  & Kyal. & Boatwr.,Indigenous
Equisetaceae,Equisetum,thunbergii,Synonym,Equisetum ramosissimum Desf.,
Asteraceae,Eclopes,schizolepis,Synonym,Oedera speciosa (DC.) N.G.Bergh,Indigenous
Gesneriaceae,Streptocarpus,polyanthus,Accepted,,Indigenous
Asphodelaceae,Aloe,umfoloziensis,Accepted,,Indigenous
Campanulaceae,Lightfootia,loddigesii,Synonym,Wahlenbergia tenerrima (H.Buek) Lammers,Indigenous
Caryophyllaceae,Polycarpon,tetraphyllum,Accepted,,Not indigenous; Naturalised
Fabaceae,Amphithalea,purpurea,Accepted,,Indigenous; Endemic
Restionaceae,Ischyrolepis,gaudichaudiana,Synonym,Restio luxurians (Pillans) H.P.Linder,Indigenous; Endemic
Iridaceae,Moraea,bulbillifera,Accepted,,Indigenous; Endemic
Celastraceae,Lauridia,tetragona,Accepted,,Indigenous
Asphodelaceae,Haworthia,mclarenii,Synonym,Haworthia mucronata Haw. var. mucronata,Indigenous
Fabaceae,Cyclopia,montana,Synonym,Cyclopia glabra (Hofmeyr & E.Phillips) A.L.Schutte,Indigenous
Ericaceae,Erica,aspalathifolia,Inclusive,,Indigenous
Asteraceae,Linzia,glabra,Synonym,Linzia glabra Steetz,
Malvaceae,Corchorus,psammophilus,Accepted,,Indigenous
Asphodelaceae,Haworthia,tuberculata,Synonym,Haworthiopsis scabra (Haw.) G.D.Rowley var. scabra,Indigenous
Aizoaceae,Sphalmanthus,tetramerus,Synonym,Mesembryanthemum trichotomum Thunb.,Indigenous
Apocynaceae,Neopectinaria,saxatilis,Synonym,Stapeliopsis saxatilis (N.E.Br.) Bruyns,Indigenous
Geraniaceae,Pelargonium,vitifolium,Accepted,,Indigenous; Endemic
Malvaceae,Hibiscus,caesius,Accepted,,Indigenous
Phyllanthaceae,Phyllanthus,reticulatus,Accepted,,Indigenous
Asparagaceae,Protasparagus,cooperi,Synonym,Asparagus cooperi Baker,Present
Hypoxidaceae,Hypoxis,oblonga,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,disticha,Accepted,,Indigenous; Endemic
Apiaceae,Alepidea,amatymbica,Accepted,,Indigenous; Endemic
Rhamnaceae,Phylica,spicata,Accepted,,Indigenous; Endemic
Velloziaceae,Vellozia,villosa,Synonym,Xerophyta villosa (Baker) L.B.Sm. & Ayensu,Indigenous
Aizoaceae,Psilocaulon,calvinianum,Synonym,Mesembryanthemum junceum Haw.,Present
Ruscaceae,Eriospermum,roseum,Accepted,,Indigenous
Cyperaceae,Bulbostylis,oritrephes,Accepted,,Indigenous
Poaceae,Eragrostis,trichophora,Accepted,,Indigenous
Asphodelaceae,Aloe,buhrii,Accepted,,Indigenous; Endemic
Iridaceae,Watsonia,zeyheri,Accepted,,Indigenous; Endemic
Aizoaceae,Conophytum,meyerae,Synonym,Conophytum bilobum (Marloth) N.E.Br. subsp. bilobum   var. bilobum,Present
Pteridaceae,Pteris,cornuta,Synonym,Ceratopteris cornuta (P.Beauv.) Lepr.,Indigenous
Apocynaceae,Ceropegia,filifolia,Accepted,,Indigenous
Asphodelaceae,Haworthia,helmiae,Synonym,Haworthia arachnoidea (L.) Duval var. nigricans (Haw.) M.B.Bayer,Indigenous
Boraginaceae,Cynoglossum,obtusicalyx,Accepted,,Indigenous; Endemic
Aizoaceae,Nycteranthus,latipetalus,Synonym,Mesembryanthemum latipetalum (L.Bolus) Klak,Indigenous
Ericaceae,Erica,caespitosa,Accepted,,Indigenous
Iridaceae,Nivenia,fruticosa,Accepted,,Indigenous; Endemic
Ruscaceae,Eriospermum,albucoides,Synonym,Eriospermum capense (L.) Thunb.,Indigenous
Apocynaceae,Asclepias,gordon-grayae,Accepted,,Indigenous; Endemic
Apocynaceae,Cryptolepis,oblongifolia,Accepted,,Indigenous
Fabaceae,Sophora,galioides,Synonym,Cyclopia galioides (P.J.Bergius) DC.,Indigenous
Euphorbiaceae,Euphorbia,maculata,Accepted,,Not indigenous; Naturalised; Invasive
Malvaceae,Grewia,robusta,Accepted,,Indigenous; Endemic
Oxalidaceae,Oxalis,orthopoda,Accepted,,Indigenous; Endemic
Lythraceae,Ammannia,drummondii,Accepted,,Indigenous
Geraniaceae,Pelargonium,gibbosum,Accepted,,Indigenous; Endemic
Ericaceae,Erica,dodii,Accepted,,Indigenous; Endemic
Aizoaceae,Glottiphyllum,subditum,Synonym,Glottiphyllum difforme (L.) N.E.Br.,Indigenous
Asphodelaceae,Haworthia,exilis,Synonym,Haworthia decipiens Poelln. var. decipiens,Indigenous
Iridaceae,Tritonia,cedarmontana,Accepted,,Indigenous
Proteaceae,Protea,macrophylla,Synonym,Protea lorifolia (Salisb. ex Knight) Fourc.,Indigenous
Asteraceae,Senecio,ulopterus,Accepted,,Indigenous; Endemic
Isoetaceae,Isoetes,toximontana,Accepted,,Indigenous; Endemic
Acanthaceae,Ruellia,simplex,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Cactaceae,Opuntia,cespitosa,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Amaranthaceae,Suaeda,merxmuelleri,Accepted,,Indigenous
Rosaceae,Cliffortia,hirsuta,Accepted,,Indigenous; Endemic
Malvaceae,Hermannia,resedifolia,Synonym,Hermannia erodioides (Burch. ex DC.) Kuntze,Indigenous
Iridaceae,Tritonia,linearifolia,Accepted,,Indigenous; Endemic
Amaranthaceae,Chenopodium,stellulatum,Accepted,,Not indigenous; Naturalised
Hyacinthaceae,Pseudoprospero,firmifolium,Accepted,,Indigenous; Endemic
Leucodontaceae,Pterogoniadelphus,sp.,Genus level,,
Acanthaceae,Acanthodium,glaucum,Synonym,Acanthopsis glauca (E.Mey. ex Nees) Schinz,Indigenous
Asteraceae,Helichrysum,rigidum,Synonym,Achyranthemum striatum (Thunb.) N.G.Bergh,Indigenous
Lobeliaceae,Laurentia,sp.,Genus level,,
Aizoaceae,Lithops,aucampiae,Inclusive,,Indigenous; Endemic
Polygalaceae,Polygala,erioptera,Accepted,,Indigenous
Asteraceae,Fluminaria,pinifolia,Accepted,,Indigenous
Brassicaceae,Sinapis,sp.,Genus level,,
Crassulaceae,Crassula,werneri,Accepted,,Indigenous; Endemic
Acanthaceae,Macrorungia,galpinii,Synonym,Metarungia galpinii (Baden) Baden,
Ericaceae,Erica,limnophila,Accepted,,Indigenous
Apiaceae,Foeniculum,vulgare,Inclusive,,Not indigenous; Cultivated; Naturalised; Invasive
Amaranthaceae,Salsola,sericea,Synonym,Chenolea diffusa Thunb.,Indigenous
Asteraceae,Relhania,multipunctata,Synonym,Oedera multipunctata (DC.) Anderb. & K.Bremer,Indigenous
Aizoaceae,Ruschia,bolusiae,Accepted,,Indigenous; Endemic
Poaceae,Sacciolepis,curvata,Accepted,,Indigenous
Hyacinthaceae,Lachenalia,unicolor,Synonym,Lachenalia pallida Aiton,Indigenous
Amaryllidaceae,Papiria,ciliaris,Synonym,Gethyllis ciliaris (Thunb.) Thunb.,Indigenous
Fabaceae,Lebeckia,inflata,Synonym,Wiborgiella inflata (Bolus) Boatwr. & B.-E.van Wyk,Indigenous; Endemic
Lamiaceae,Ocimum,urticifolium,Synonym,Ocimum natalense Ayob. ex A.J.Paton,Present
Iridaceae,Romulea,unifolia,Accepted,,Indigenous; Endemic
Fabaceae,Acacia,schlechteri,Synonym,Senegalia burkei (Benth.) Kyal. & Boatwr.,
Cactaceae,Harrisia,martinii,Accepted,,Not indigenous; Naturalised; Invasive
Poaceae,Eragrostis,pseudopoa,Accepted,,Indigenous
Asteraceae,Seriphium,gnaphaloides,Synonym,Myrovernix gnaphaloides Koekemoer,Indigenous
Oxalidaceae,Oxalis,bifolia,Synonym,Oxalis eckloniana C.Presl var. sonderi T.M.Salter,
Fabaceae,Acacia,karroo,Synonym,Vachellia karroo (Hayne) Banfi & Galasso,
Ericaceae,Erica,lateralis,Accepted,,Indigenous; Endemic
Iridaceae,Galaxia,grandiflora,Synonym,Moraea kamiesensis Goldblatt,Present
Poaceae,Cynodon,hirsutus,Accepted,,Indigenous
Hyacinthaceae,Albuca,physodes,Synonym,Drimia physodes (Jacq.) Jessop,Indigenous
Aizoaceae,Conophytum,roodiae,Accepted,,Indigenous; Endemic
Convolvulaceae,Ipomoea,coptica,Inclusive,,Indigenous
Aizoaceae,Hereroa,gracilis,Accepted,,Indigenous; Endemic
Aizoaceae,Erepsia,babiloniae,Accepted,,Indigenous; Endemic
Restionaceae,Askidiosperma,insigne,Accepted,,Indigenous; Endemic
Ericaceae,Erica,austroverna,Synonym,Erica revoluta (Bolus) L.E.Davidson,Indigenous
Apiaceae,Seseli,striatum,Synonym,Notobubon striatum (Thunb.) Magee,Indigenous
Iridaceae,Moraea,regalis,Accepted,,Indigenous; Endemic
Santalaceae,Thesium,cytisoides,Synonym,Thesium utile A.W.Hill,Indigenous
Lobeliaceae,Cyphia,campestris,Synonym,Cyphia campestris Eckl. & Zeyh. ex C.Presl,Indigenous; Endemic
Phyllanthaceae,Hymenocardia,ulmoides,Accepted,,Indigenous
Proteaceae,Grevillea,banksii,Accepted,,Not indigenous; Cultivated; Naturalised; Invasive
Lobeliaceae,Rapuntium,flavum,Synonym,Monopsis flava (C.Presl) E.Wimm.,Indigenous
Ericaceae,Erica,parviporandra,Accepted,,Indigenous; Endemic
Asteraceae,Hilliardiella,elaeagnoides,Accepted,,Indigenous
Amaranthaceae,Celosia,recurva,Synonym,Hermbstaedtia odorata (Burch.) T.Cooke var. odorata,
Apocynaceae,Stenostelma,carinatum,Accepted,,Indigenous; Endemic
Acanthaceae,Phaulopsis,imbricata,Accepted,,Indigenous
Fabaceae,Elephantorrhiza,sp.,Genus level,,
Fabaceae,Kotschya,thymodora,Inclusive,,Indigenous
Apiaceae,Centella,lanata,Accepted,,Indigenous; Endemic
Achariaceae,Guthriea,sp.,Genus level,,
Hydrocharitaceae,Elodea,canadensis,Accepted,,Not indigenous; Naturalised; Invasive
Loganiaceae,Strychnos,wakefieldii,Synonym,Strychnos madagascariensis Poir.,
Asteraceae,Rosenia,angustifolia,Synonym,Oedera oppositifolia (DC.) N.G.Bergh,Indigenous
Asphodelaceae,Haworthia,attenuata,Synonym,Haworthiopsis attenuata (Haw.) G.D.Rowley var. attenuata,Indigenous
Fabaceae,Aspalathus,opaca,Accepted,,Indigenous; Endemic
Santalaceae,Viscum,capense,Synonym,Viscum hoolei (Wiens) Polhill & Wiens,Indigenous
Santalaceae,Thesium,burkei,Synonym,Thesium resedoides A.W.Hill,Indigenous
Boraginaceae,Anchusa,capensis,Accepted,,Indigenous
Lobeliaceae,Lobelia,rupincola,Synonym,Lobelia anceps L.f.,
Plantaginaceae,Veronica,chamaedrys,Accepted,,Not indigenous; Naturalised
Geraniaceae,Pelargonium,rustii,Accepted,,Indigenous; Endemic
Zamiaceae,Encephalartos,woodii,Accepted,,Indigenous; Endemic; extinct
Cyperaceae,Fimbristylis,obtusifolia,Synonym,Fimbristylis dichotoma (L.) Vahl subsp. dichotoma,Indigenous
Apocynaceae,Stapelia,arenosa,Accepted,,Indigenous; Endemic
Fabaceae,Rafnia,retroflexa,Synonym,Rafnia capensis (L.) Schinz subsp. capensis,Indigenous
